epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
0,1.1551,1.22,1.1737,0.75326,0.61223,0.70005,0.45497,1.1585,1.0464,1.1435,0.07003,0.00333,0.00333
1,1.2308,1.1144,1.2236,0.70274,0.54398,0.62109,0.37876,1.3142,1.233,1.2838,0.040015,0.0066487,0.0066487
2,1.3477,1.2367,1.3051,0.6817,0.49143,0.56143,0.33139,1.432,1.3103,1.3857,0.009986,0.0099527,0.0099527
3,1.374,1.2611,1.3347,0.70618,0.54562,0.62441,0.38906,1.2994,1.1417,1.2918,0.009934,0.009934,0.009934
4,1.3233,1.1907,1.3052,0.74529,0.56434,0.65842,0.41743,1.2495,1.088,1.2418,0.009934,0.009934,0.009934
5,1.2949,1.1525,1.2869,0.73974,0.59124,0.67991,0.43776,1.2171,1.0155,1.2182,0.009912,0.009912,0.009912
6,1.2823,1.1292,1.278,0.76087,0.60174,0.69367,0.45643,1.1771,0.98448,1.191,0.00989,0.00989,0.00989
7,1.2686,1.1134,1.2682,0.7718,0.60823,0.70559,0.46575,1.1505,0.93154,1.175,0.009868,0.009868,0.009868
8,1.2587,1.0991,1.2618,0.77547,0.61787,0.7175,0.47462,1.137,0.91834,1.1681,0.009846,0.009846,0.009846
9,1.2521,1.0933,1.2595,0.78889,0.62377,0.72335,0.48216,1.1345,0.89655,1.166,0.009824,0.009824,0.009824
10,1.2488,1.0879,1.2586,0.78928,0.62291,0.72646,0.48709,1.113,0.87482,1.1543,0.009802,0.009802,0.009802
11,1.2425,1.0816,1.2545,0.77869,0.63246,0.72989,0.4915,1.1027,0.86118,1.1493,0.00978,0.00978,0.00978
12,1.2402,1.0763,1.2526,0.793,0.62942,0.7331,0.49438,1.0986,0.85597,1.1481,0.009758,0.009758,0.009758
13,1.2372,1.0725,1.2508,0.79298,0.6377,0.73752,0.49683,1.0997,0.84839,1.1479,0.009736,0.009736,0.009736
14,1.2348,1.068,1.2497,0.80021,0.63459,0.73842,0.49955,1.0909,0.84338,1.1415,0.009714,0.009714,0.009714
15,1.235,1.0655,1.2474,0.79412,0.63795,0.73878,0.50071,1.0888,0.83884,1.1397,0.009692,0.009692,0.009692
16,1.2321,1.0671,1.247,0.79608,0.64059,0.7406,0.50185,1.0908,0.83659,1.1409,0.00967,0.00967,0.00967
17,1.2346,1.0653,1.2482,0.80257,0.63595,0.74172,0.50246,1.0937,0.8342,1.1417,0.009648,0.009648,0.009648
18,1.2318,1.0594,1.2453,0.80138,0.6365,0.74255,0.50355,1.0948,0.83257,1.1421,0.009626,0.009626,0.009626
19,1.2299,1.0611,1.2452,0.79872,0.64008,0.74322,0.50414,1.093,0.83284,1.1409,0.009604,0.009604,0.009604
20,1.2279,1.0591,1.244,0.79934,0.63949,0.74279,0.50411,1.0921,0.83214,1.1409,0.009582,0.009582,0.009582
21,1.2286,1.0582,1.2446,0.8012,0.63945,0.74318,0.50458,1.0902,0.83068,1.1398,0.00956,0.00956,0.00956
22,1.2246,1.0563,1.2421,0.80169,0.63995,0.74328,0.50482,1.089,0.83093,1.1391,0.009538,0.009538,0.009538
23,1.2257,1.0551,1.2422,0.79988,0.63968,0.7433,0.50516,1.0877,0.83057,1.1383,0.009516,0.009516,0.009516
24,1.2256,1.0561,1.2419,0.79478,0.6444,0.74355,0.50542,1.088,0.82868,1.1386,0.009494,0.009494,0.009494
25,1.2248,1.0558,1.2439,0.79667,0.64277,0.74311,0.5054,1.0867,0.82717,1.1377,0.009472,0.009472,0.009472
26,1.2256,1.057,1.2429,0.79818,0.64177,0.74367,0.50547,1.0845,0.82693,1.1367,0.00945,0.00945,0.00945
27,1.2219,1.0514,1.2399,0.7946,0.64377,0.74381,0.50558,1.0839,0.82696,1.1367,0.009428,0.009428,0.009428
28,1.2212,1.0485,1.239,0.79475,0.64258,0.74376,0.50596,1.0819,0.82792,1.135,0.009406,0.009406,0.009406
29,1.2206,1.0489,1.2389,0.79748,0.64077,0.744,0.5066,1.0807,0.82732,1.134,0.009384,0.009384,0.009384
30,1.2213,1.0484,1.2395,0.79675,0.6416,0.74443,0.50655,1.081,0.82619,1.1344,0.009362,0.009362,0.009362
31,1.2235,1.0519,1.2414,0.79713,0.64149,0.74447,0.50693,1.081,0.82637,1.1342,0.00934,0.00934,0.00934
32,1.2211,1.0471,1.2393,0.7942,0.64168,0.74432,0.50718,1.0804,0.82686,1.1331,0.009318,0.009318,0.009318
33,1.2189,1.044,1.2377,0.79232,0.64384,0.74402,0.50685,1.0807,0.82695,1.133,0.009296,0.009296,0.009296
34,1.2187,1.0455,1.2404,0.79433,0.64395,0.74435,0.50671,1.0804,0.82638,1.133,0.009274,0.009274,0.009274
35,1.2178,1.0458,1.2387,0.79147,0.64531,0.74442,0.50653,1.0782,0.82614,1.1317,0.009252,0.009252,0.009252
36,1.2173,1.0453,1.2385,0.78837,0.64577,0.7444,0.50685,1.0783,0.82486,1.1321,0.00923,0.00923,0.00923
37,1.2203,1.0477,1.2385,0.78839,0.6464,0.74463,0.50761,1.0775,0.82286,1.1316,0.009208,0.009208,0.009208
38,1.2136,1.0425,1.2376,0.7869,0.64797,0.74449,0.50817,1.0784,0.82327,1.1323,0.009186,0.009186,0.009186
