epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
0,1.0099,0.82564,1.1164,0.80487,0.67473,0.77187,0.53504,1.0068,0.7918,1.0711,0.07003,0.00333,0.00333
1,1.0918,0.88326,1.1562,0.75342,0.62364,0.71237,0.47098,1.1281,0.98119,1.1632,0.040008,0.0066414,0.0066414
2,1.2387,1.0713,1.2486,0.70733,0.56234,0.64019,0.3973,1.2958,1.1583,1.2781,0.009964,0.0099307,0.0099307
3,1.2926,1.1422,1.2911,0.76207,0.5833,0.67742,0.43645,1.2099,1.0072,1.2238,0.009901,0.009901,0.009901
4,1.2403,1.078,1.2608,0.77104,0.61196,0.70962,0.46598,1.1456,0.94418,1.186,0.009901,0.009901,0.009901
5,1.2109,1.0408,1.2433,0.77013,0.63495,0.72615,0.48796,1.1122,0.89187,1.1624,0.009868,0.009868,0.009868
6,1.1959,1.0198,1.2319,0.7909,0.6474,0.74682,0.50548,1.0754,0.85701,1.1385,0.009835,0.009835,0.009835
7,1.1812,1.0033,1.2235,0.79727,0.65222,0.75359,0.5152,1.0571,0.83576,1.129,0.009802,0.009802,0.009802
8,1.1723,0.99044,1.217,0.79523,0.66103,0.7614,0.52128,1.0503,0.81381,1.1233,0.009769,0.009769,0.009769
9,1.1644,0.98434,1.2139,0.79888,0.66539,0.76653,0.52854,1.033,0.79259,1.1104,0.009736,0.009736,0.009736
10,1.1616,0.97654,1.2115,0.80287,0.66903,0.77167,0.5345,1.0207,0.7741,1.1019,0.009703,0.009703,0.009703
11,1.1554,0.97289,1.2078,0.7982,0.68043,0.77338,0.538,1.0154,0.76504,1.1005,0.00967,0.00967,0.00967
12,1.1508,0.96867,1.204,0.81519,0.67063,0.77687,0.5423,1.0054,0.75791,1.0957,0.009637,0.009637,0.009637
13,1.1482,0.96252,1.2021,0.81032,0.67839,0.77882,0.54457,1.0047,0.7514,1.0951,0.009604,0.009604,0.009604
14,1.1476,0.95898,1.202,0.81225,0.67993,0.78112,0.54598,1.002,0.74499,1.0958,0.009571,0.009571,0.009571
15,1.1448,0.95739,1.1998,0.81058,0.68483,0.78285,0.54782,1.0041,0.74025,1.0961,0.009538,0.009538,0.009538
16,1.142,0.95809,1.199,0.81645,0.68157,0.78255,0.549,0.99962,0.73974,1.0913,0.009505,0.009505,0.009505
17,1.1441,0.95472,1.2007,0.81611,0.68121,0.78301,0.54982,0.99922,0.74019,1.0909,0.009472,0.009472,0.009472
18,1.1414,0.9514,1.1993,0.81518,0.68066,0.78374,0.55,0.99828,0.73918,1.09,0.009439,0.009439,0.009439
19,1.1407,0.95259,1.1979,0.81143,0.68521,0.78458,0.55096,0.99499,0.7376,1.0875,0.009406,0.009406,0.009406
20,1.1382,0.95265,1.1982,0.81165,0.68557,0.7851,0.55149,0.99402,0.73643,1.0869,0.009373,0.009373,0.009373
21,1.1371,0.94773,1.1964,0.80725,0.68875,0.78444,0.552,0.99211,0.73696,1.086,0.00934,0.00934,0.00934
22,1.1347,0.94712,1.1945,0.8059,0.68902,0.78443,0.55191,0.99201,0.73621,1.0864,0.009307,0.009307,0.009307
23,1.1369,0.94651,1.1958,0.81,0.68766,0.78558,0.55233,0.99064,0.73539,1.0857,0.009274,0.009274,0.009274
24,1.1342,0.94687,1.1943,0.81122,0.68757,0.7859,0.55229,0.99034,0.73504,1.0856,0.009241,0.009241,0.009241
25,1.1331,0.94543,1.1944,0.81234,0.6872,0.78595,0.55227,0.99019,0.73389,1.0855,0.009208,0.009208,0.009208
26,1.1335,0.94646,1.1939,0.81096,0.68675,0.78564,0.55265,0.99028,0.73348,1.0855,0.009175,0.009175,0.009175
27,1.1309,0.94101,1.1929,0.81088,0.68639,0.78564,0.55252,0.99011,0.73407,1.0848,0.009142,0.009142,0.009142
28,1.131,0.93995,1.1918,0.81114,0.68657,0.78596,0.55317,0.9889,0.7342,1.0842,0.009109,0.009109,0.009109
29,1.1297,0.93966,1.1901,0.81252,0.68528,0.78604,0.55323,0.98908,0.73358,1.0841,0.009076,0.009076,0.009076
30,1.1287,0.93914,1.192,0.81437,0.68393,0.78674,0.55386,0.98919,0.73318,1.0843,0.009043,0.009043,0.009043
31,1.1323,0.94079,1.193,0.8122,0.68624,0.7865,0.5541,0.98903,0.73295,1.0844,0.00901,0.00901,0.00901
32,1.1291,0.93655,1.1911,0.81205,0.6871,0.78716,0.5543,0.98828,0.73214,1.0839,0.008977,0.008977,0.008977
33,1.1264,0.93563,1.1918,0.81083,0.68829,0.78713,0.55459,0.98759,0.73143,1.0839,0.008944,0.008944,0.008944
34,1.1257,0.93629,1.1899,0.81076,0.6873,0.78663,0.55463,0.98614,0.73002,1.0823,0.008911,0.008911,0.008911
35,1.1279,0.93423,1.1894,0.8098,0.68902,0.78686,0.5553,0.98499,0.73013,1.0815,0.008878,0.008878,0.008878
36,1.124,0.93501,1.1907,0.81348,0.68806,0.78755,0.55541,0.98462,0.73126,1.0813,0.008845,0.008845,0.008845
37,1.1286,0.93685,1.1893,0.80917,0.69128,0.78748,0.55555,0.98371,0.73098,1.0806,0.008812,0.008812,0.008812
