epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
0,1.1662,1.0417,1.2137,0.76438,0.61637,0.7085,0.47194,1.1274,0.92125,1.1422,0.07001,0.0033322,0.0033322
1,1.2056,1.0419,1.2271,0.75225,0.60418,0.69461,0.45514,1.1709,0.96943,1.1837,0.039944,0.0065996,0.0065996
2,1.3089,1.1718,1.2983,0.75598,0.60221,0.6929,0.45221,1.1817,0.98048,1.1956,0.009812,0.0098009,0.0098009
3,1.318,1.1802,1.3077,0.77662,0.62117,0.72065,0.48098,1.1227,0.90444,1.1602,0.009703,0.009703,0.009703
4,1.2715,1.1225,1.2773,0.78796,0.63204,0.73347,0.496,1.0976,0.86642,1.1426,0.009703,0.009703,0.009703
5,1.2529,1.0979,1.2662,0.78923,0.63677,0.73744,0.50206,1.0839,0.85004,1.1346,0.009604,0.009604,0.009604
6,1.2448,1.0842,1.2598,0.78908,0.64119,0.74044,0.50468,1.0797,0.84155,1.1321,0.009505,0.009505,0.009505
7,1.2384,1.0763,1.2554,0.78776,0.64186,0.74165,0.5063,1.0754,0.83808,1.1291,0.009406,0.009406,0.009406
8,1.2332,1.0716,1.2526,0.79152,0.64149,0.74302,0.50772,1.0725,0.83482,1.1269,0.009307,0.009307,0.009307
9,1.2312,1.0674,1.2505,0.7901,0.6447,0.74416,0.5093,1.0695,0.83237,1.1252,0.009208,0.009208,0.009208
10,1.2292,1.0631,1.2479,0.78986,0.64455,0.74567,0.51077,1.0663,0.83068,1.1231,0.009109,0.009109,0.009109
11,1.2255,1.0587,1.2464,0.79125,0.64619,0.74638,0.51144,1.0634,0.8281,1.1211,0.00901,0.00901,0.00901
12,1.2228,1.0551,1.2449,0.79327,0.64688,0.7477,0.5132,1.0612,0.825,1.1196,0.008911,0.008911,0.008911
13,1.2212,1.0528,1.2438,0.7917,0.64994,0.74888,0.51393,1.0596,0.82212,1.1182,0.008812,0.008812,0.008812
14,1.2175,1.0481,1.241,0.79354,0.65096,0.74995,0.5151,1.0576,0.81965,1.117,0.008713,0.008713,0.008713
15,1.2166,1.0483,1.2412,0.79598,0.64964,0.75067,0.51618,1.0558,0.81781,1.1161,0.008614,0.008614,0.008614
16,1.2126,1.0443,1.2388,0.79797,0.65098,0.75187,0.51743,1.0538,0.81571,1.1145,0.008515,0.008515,0.008515
17,1.2117,1.0422,1.2375,0.79811,0.65073,0.75232,0.51826,1.0525,0.81324,1.1136,0.008416,0.008416,0.008416
18,1.211,1.0408,1.2368,0.79536,0.65488,0.75374,0.51953,1.0501,0.80962,1.112,0.008317,0.008317,0.008317
19,1.2071,1.0371,1.2347,0.79697,0.65525,0.75405,0.52022,1.0487,0.80839,1.1109,0.008218,0.008218,0.008218
20,1.2054,1.0363,1.2358,0.7969,0.65504,0.75527,0.5211,1.0477,0.80642,1.1104,0.008119,0.008119,0.008119
21,1.204,1.0331,1.2331,0.7964,0.65773,0.75662,0.52215,1.0468,0.80424,1.1099,0.00802,0.00802,0.00802
22,1.2027,1.0322,1.2324,0.79485,0.65931,0.75706,0.52284,1.0458,0.80307,1.1092,0.007921,0.007921,0.007921
23,1.2002,1.0278,1.2318,0.79435,0.66064,0.75772,0.52343,1.0446,0.80131,1.1084,0.007822,0.007822,0.007822
