epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
0,1.3082,1.3976,1.2821,0.72603,0.5329,0.62296,0.39044,1.2831,1.1837,1.2259,0.07001,0.0033322,0.0033322
1,1.3399,1.2577,1.2997,0.70897,0.52445,0.61153,0.37638,1.3155,1.1902,1.268,0.039966,0.0066216,0.0066216
2,1.4129,1.329,1.3575,0.72054,0.55093,0.63615,0.39603,1.2929,1.1301,1.2596,0.009878,0.0098669,0.0098669
3,1.411,1.3134,1.3604,0.73815,0.57955,0.66645,0.42723,1.2289,1.0364,1.2179,0.009802,0.009802,0.009802
4,1.3696,1.2541,1.3328,0.75086,0.58676,0.67975,0.4402,1.2052,0.99474,1.2018,0.009802,0.009802,0.009802
5,1.3512,1.2288,1.3219,0.7566,0.59048,0.68594,0.44667,1.1935,0.97839,1.195,0.009736,0.009736,0.009736
6,1.3433,1.2148,1.3162,0.75822,0.59306,0.68741,0.44884,1.1876,0.97108,1.1916,0.00967,0.00967,0.00967
7,1.3376,1.2061,1.3104,0.75851,0.59318,0.68804,0.45031,1.1838,0.96774,1.1893,0.009604,0.009604,0.009604
8,1.3342,1.2,1.3087,0.75809,0.59336,0.68888,0.45158,1.1809,0.96496,1.1873,0.009538,0.009538,0.009538
9,1.3317,1.1968,1.3063,0.76058,0.59503,0.69019,0.45259,1.1791,0.96333,1.186,0.009472,0.009472,0.009472
10,1.329,1.1935,1.3044,0.75723,0.59639,0.69118,0.45351,1.1772,0.96144,1.1851,0.009406,0.009406,0.009406
11,1.3256,1.1901,1.3028,0.76101,0.59512,0.69149,0.45438,1.176,0.96034,1.1837,0.00934,0.00934,0.00934
12,1.3235,1.1864,1.3015,0.75953,0.59512,0.69208,0.45506,1.1744,0.95818,1.1825,0.009274,0.009274,0.009274
13,1.3226,1.1863,1.3006,0.76132,0.59588,0.69335,0.45649,1.1714,0.95521,1.1809,0.009208,0.009208,0.009208
14,1.3191,1.1802,1.2978,0.76479,0.59612,0.69448,0.45729,1.1697,0.95234,1.18,0.009142,0.009142,0.009142
15,1.3189,1.1801,1.2974,0.76863,0.59593,0.69624,0.45864,1.1679,0.9494,1.1789,0.009076,0.009076,0.009076
16,1.315,1.1767,1.2968,0.7672,0.59687,0.69681,0.45962,1.1659,0.94683,1.1776,0.00901,0.00901,0.00901
17,1.3152,1.1743,1.2952,0.76721,0.59893,0.69813,0.46094,1.1634,0.94421,1.1759,0.008944,0.008944,0.008944
18,1.3157,1.1765,1.2963,0.76951,0.59984,0.69921,0.46178,1.1618,0.9418,1.1745,0.008878,0.008878,0.008878
